Frame 	X_1 	Y_1 	nX_1 	nY_1 	Disp 	Ori_Disp 	Radius_1 
1.000000	98.598571	91.951804	0.000000	0.000000	0.000000	0.000000	20.030492	
2.000000	98.389843	91.537679	-0.208728	-0.414125	0.463754	0.463754	20.046528	
3.000000	98.845211	91.165089	0.246639	-0.786715	0.588373	0.824471	20.117890	
4.000000	98.391338	90.899730	-0.207233	-1.052074	0.525753	1.072290	20.104236	
5.000000	98.254031	91.071651	-0.344540	-0.880153	0.220023	0.945186	20.088369	
6.000000	98.423567	90.872958	-0.175004	-1.078846	0.261192	1.092948	20.110107	
7.000000	98.573593	90.956117	-0.024978	-0.995687	0.171533	0.996000	20.077449	
8.000000	98.015077	90.222439	-0.583494	-1.729365	0.922076	1.825149	20.053512	
9.000000	98.352599	89.805353	-0.245972	-2.146450	0.536546	2.160498	20.084033	
10.000000	97.657775	89.619602	-0.940796	-2.332202	0.719224	2.514809	20.047562	
11.000000	97.369954	88.445009	-1.228617	-3.506794	1.209342	3.715792	20.059583	
12.000000	97.096858	87.943207	-1.501713	-4.008597	0.571303	4.280653	20.035291	
13.000000	96.355289	88.133160	-2.243282	-3.818643	0.765511	4.428810	20.042275	
14.000000	95.389491	88.178901	-3.209080	-3.772903	0.966881	4.953079	20.078146	
15.000000	95.793429	87.720303	-2.805142	-4.231501	0.611128	5.076852	20.111383	
16.000000	95.522683	87.930429	-3.075888	-4.021375	0.342719	5.062860	20.048329	
17.000000	95.380043	88.572864	-3.218528	-3.378940	0.658079	4.666493	20.032870	
18.000000	94.750894	89.308737	-3.847677	-2.643067	0.968162	4.668021	20.035036	
19.000000	94.797452	89.781978	-3.801119	-2.169825	0.475526	4.376831	20.047568	
20.000000	95.290372	90.504865	-3.308199	-1.446939	0.874949	3.610791	20.029700	
21.000000	95.803261	90.333944	-2.795310	-1.617859	0.540619	3.229741	20.080235	
22.000000	95.702000	90.280697	-2.896572	-1.671107	0.114408	3.344058	20.041118	
23.000000	95.737002	89.957086	-2.861569	-1.994718	0.325498	3.488191	20.077235	
24.000000	95.902663	89.733820	-2.695908	-2.217984	0.278013	3.491042	20.190127	
